Transaction_ID,Date,Customer_ID,Product_Category,Sales_Amount,Region
TXN-00042,12/12/2024,C-0176,Sports,18084,Khon Kaen
TXN-00043,13/03/2024,C-0809,Electronics,14848,Chonburi
TXN-00044,17/05/2024,C-0267,Beauty,3490,Phuket
TXN-00045,11/07/2024,C-0233,Fashion,27357,Phuket
TXN-00046,20/11/2024,C-0496,Beauty,11414,Bangkok
TXN-00047,17/02/2024,C-0381,Fashion,41478,Chiang Mai
TXN-00048,22/05/2024,C-0995,Electronics,40693,Phuket
TXN-00049,07/07/2024,C-0296,Sports,8968,Phuket
TXN-00050,06/09/2024,C-0789,Beauty,1805,Chonburi
TXN-00051,02/01/2024,C-0866,Sports,1883,Bangkok
TXN-00052,17/02/2024,C-0049,Home & Living,6414,Bangkok
TXN-00053,22/08/2024,C-0152,Electronics,22342,Phuket
TXN-00054,23/12/2024,C-0362,Sports,36734,Khon Kaen
TXN-00055,02/02/2024,C-0292,Fashion,3725,Phuket
TXN-00056,22/07/2024,C-0467,Beauty,24230,Bangkok
TXN-00057,07/08/2024,C-0980,Sports,10788,Bangkok
TXN-00058,10/09/2024,C-0171,Sports,26421,Chiang Mai
TXN-00059,25/05/2024,C-0634,Home & Living,15529,Bangkok
TXN-00060,22/10/2024,C-0947,Beauty,11077,Bangkok
TXN-00061,05/09/2024,C-0165,Home & Living,22225,Chonburi
TXN-00062,15/12/2024,C-0729,Sports,36738,Chiang Mai
TXN-00063,24/01/2024,C-0549,Fashion,1393,Bangkok
TXN-00064,23/08/2024,C-0293,Sports,1812,Chonburi
TXN-00065,21/03/2024,C-0187,Electronics,35008,Bangkok
TXN-00066,01/01/2024,C-0997,Home & Living,26579,Chonburi
TXN-00067,07/08/2024,C-0180,Fashion,3271,Bangkok
TXN-00068,18/12/2024,C-0860,Sports,20256,Bangkok
TXN-00069,28/11/2024,C-0726,Fashion,41889,Phuket
TXN-00070,20/05/2024,C-0710,Home & Living,16707,Chonburi
TXN-00071,03/07/2024,C-0927,Sports,49646,Chiang Mai
TXN-00072,09/07/2024,C-0683,Electronics,25263,Chiang Mai
TXN-00073,28/11/2024,C-0814,Home & Living,9097,Chiang Mai
TXN-00074,21/07/2024,C-0158,Home & Living,18194,Bangkok
TXN-00075,24/12/2024,C-0166,Electronics,5515,Phuket
TXN-00076,07/08/2024,C-0244,Sports,47824,Bangkok
TXN-00077,26/12/2024,C-0120,Beauty,48514,Phuket
TXN-00078,19/04/2024,C-0043,Fashion,1466,Chonburi
TXN-00079,08/03/2024,C-0325,Sports,36000,Phuket
TXN-00080,22/09/2024,C-0589,Sports,10451,Chiang Mai
TXN-00081,05/01/2024,C-0130,Fashion,39047,Phuket
TXN-00082,24/06/2024,C-0452,Home & Living,13232,Bangkok
TXN-00083,04/08/2024,C-0267,Sports,20959,Bangkok
TXN-00084,01/09/2024,C-0379,Beauty,28362,Chiang Mai
TXN-00085,15/07/2024,C-0189,Fashion,2035,Chonburi
TXN-00086,22/02/2024,C-0211,Sports,30574,Phuket
TXN-00087,07/07/2024,C-0576,Home & Living,17819,Phuket
TXN-00088,11/03/2024,C-0725,Fashion,38261,Khon Kaen
TXN-00089,09/03/2024,C-0036,Beauty,19586,Chiang Mai
TXN-00090,12/12/2024,C-0682,Electronics,15065,Chonburi
TXN-00091,28/09/2024,C-0325,Fashion,37265,Bangkok
TXN-00092,08/11/2024,C-0353,Beauty,19139,Chonburi
TXN-00093,13/08/2024,C-0152,Sports,35444,Bangkok
TXN-00094,19/04/2024,C-0382,Sports,25561,Khon Kaen
TXN-00095,18/03/2024,C-0460,Beauty,24903.5,Bangkok
TXN-00096,11/11/2024,C-0553,Sports,26297,Bangkok
TXN-00097,21/04/2024,C-0999,Beauty,36320,Chonburi
TXN-00098,21/02/2024,C-0167,Beauty,30139,Bangkok
TXN-00099,04/03/2024,C-0547,Beauty,2131,Phuket
TXN-00100,15/07/2024,C-0309,Fashion,15711,Khon Kaen
TXN-00101,07/08/2024,C-0125,Beauty,31747,Bangkok
TXN-00102,12/03/2024,C-0943,Fashion,42627,Chonburi
TXN-00103,26/11/2024,C-0026,Sports,9922,Khon Kaen
TXN-00104,10/10/2024,C-0415,Electronics,5981,Bangkok
TXN-00105,07/11/2024,C-0954,Beauty,11592,Phuket
TXN-00106,19/12/2024,C-0512,Fashion,32600,Bangkok
TXN-00107,03/12/2024,C-0787,Home & Living,5997,Phuket
TXN-00108,15/04/2024,C-0149,Electronics,40902,Chonburi
TXN-00109,17/09/2024,C-0971,Beauty,34801,Chonburi
TXN-00110,19/07/2024,C-0470,Home & Living,37635,Khon Kaen
TXN-00111,28/01/2024,C-0951,Electronics,4362,Bangkok
TXN-00112,02/05/2024,C-0328,Electronics,17016,Chiang Mai
TXN-00113,27/02/2024,C-0160,Home & Living,49030,Phuket
TXN-00114,22/11/2024,C-0005,Beauty,10370,Bangkok
TXN-00115,27/09/2024,C-0994,Fashion,45654,Chonburi
TXN-00116,07/01/2024,C-0757,Sports,27142,Chiang Mai
TXN-00117,11/06/2024,C-0560,Home & Living,18073,Chiang Mai
TXN-00118,18/10/2024,C-1000,Fashion,49982,Khon Kaen
TXN-00119,06/10/2024,C-0520,Beauty,32529,Chiang Mai
TXN-00120,29/08/2024,C-0340,Unknown,21013,Phuket
TXN-00121,07/02/2024,C-0663,Electronics,15949,Chiang Mai
TXN-00122,04/02/2024,C-0723,Beauty,46956,Chiang Mai
TXN-00123,20/04/2024,C-0303,Home & Living,36859,Chiang Mai
TXN-00124,31/01/2024,C-0486,Home & Living,48542,Chiang Mai
TXN-00125,22/07/2024,C-0918,Beauty,7384,Bangkok
TXN-00126,17/11/2024,C-0297,Sports,5579,Chonburi
TXN-00127,31/07/2024,C-0993,Fashion,1392,Bangkok
TXN-00128,24/07/2024,C-0967,Beauty,49530,Chiang Mai
TXN-00129,01/10/2024,C-0773,Beauty,13434,Chonburi
TXN-00130,19/03/2024,C-0588,Home & Living,7949,Chonburi
TXN-00131,07/06/2024,C-0683,Sports,28299,Phuket
TXN-00132,14/04/2024,C-0151,Beauty,41536,Phuket
TXN-00133,20/03/2024,C-0819,Beauty,32428,Bangkok
TXN-00134,19/07/2024,C-0579,Electronics,36353,Bangkok
TXN-00135,28/11/2024,C-0747,Beauty,1106,Phuket
TXN-00136,03/02/2024,C-0929,Electronics,29039,Phuket
TXN-00137,11/08/2024,C-0945,Electronics,47682,Chonburi
TXN-00138,02/05/2024,C-0453,Home & Living,44847,Phuket
TXN-00139,14/02/2024,C-0347,Electronics,21627,Chonburi
TXN-00140,29/02/2024,C-0706,Electronics,24855,Chonburi
TXN-00141,07/11/2024,C-0116,Sports,11375,Khon Kaen
TXN-00142,07/12/2024,C-0750,Electronics,34791,Khon Kaen
TXN-00143,30/03/2024,C-0491,Sports,40739,Bangkok
TXN-00144,28/12/2024,C-0922,Beauty,24830,Bangkok
TXN-00145,06/01/2024,C-0042,Electronics,16965,Chiang Mai
TXN-00146,26/06/2024,C-0143,Sports,14303,Chonburi
TXN-00147,12/05/2024,C-0695,Electronics,49439,Bangkok
TXN-00148,05/03/2024,C-0565,Fashion,9369,Phuket
TXN-00149,17/05/2024,C-0120,Sports,47363,Chonburi
TXN-00150,01/03/2024,C-0316,Sports,1143,Chiang Mai
TXN-00151,16/01/2024,C-0026,Beauty,12245,Bangkok
TXN-00152,07/08/2024,C-0412,Beauty,4894,Bangkok
TXN-00153,02/02/2024,C-0633,Electronics,867,Chonburi
TXN-00154,22/10/2024,C-0862,Fashion,12799,Chonburi
TXN-00155,11/09/2024,C-0226,Sports,6650,Chonburi
TXN-00156,03/07/2024,C-0457,Home & Living,22194,Chiang Mai
TXN-00157,17/10/2024,C-0366,Electronics,41458,Phuket
TXN-00158,21/03/2024,C-0095,Home & Living,10753,Phuket
TXN-00159,22/02/2024,C-0335,Home & Living,42203,Khon Kaen
TXN-00160,11/12/2024,C-0057,Fashion,15313,Khon Kaen
TXN-00161,26/04/2024,C-0623,Beauty,1425,Khon Kaen
TXN-00162,02/01/2024,C-0657,Electronics,18494,Chiang Mai
TXN-00163,07/01/2024,C-0200,Home & Living,28429,Phuket
TXN-00164,29/08/2024,C-0598,Electronics,20537,Chiang Mai
TXN-00165,17/03/2024,C-0540,Electronics,26928,Phuket
TXN-00166,19/01/2024,C-0228,Beauty,37273,Phuket
TXN-00167,31/12/2024,C-0801,Home & Living,43712,Bangkok
TXN-00168,02/08/2024,C-0959,Electronics,39339,Bangkok
TXN-00169,07/05/2024,C-0786,Fashion,48384,Bangkok
TXN-00170,12/06/2024,C-0285,Sports,12186,Bangkok
TXN-00171,09/02/2024,C-0201,Sports,7205,Chonburi
TXN-00172,02/03/2024,C-0024,Beauty,34730,Bangkok
TXN-00173,27/01/2024,C-0086,Home & Living,25596,Chonburi
TXN-00174,21/09/2024,C-0552,Beauty,39308,Chiang Mai
TXN-00175,24/07/2024,C-0870,Electronics,48817,Khon Kaen
TXN-00176,26/08/2024,C-0457,Beauty,44310,Phuket
TXN-00177,08/06/2024,C-0694,Electronics,14217,Chonburi
TXN-00178,10/10/2024,C-0688,Sports,15693,Chiang Mai
TXN-00179,07/07/2024,C-0981,Fashion,6485,Chiang Mai
TXN-00180,15/10/2024,C-0090,Fashion,40799,Bangkok
TXN-00181,14/11/2024,C-1000,Beauty,11301,Bangkok
TXN-00182,07/07/2024,C-0525,Sports,516,Bangkok
TXN-00183,09/09/2024,C-0404,Fashion,3920,Bangkok
TXN-00184,10/04/2024,C-0200,Fashion,29315,Bangkok
TXN-00185,06/10/2024,C-0503,Sports,31412,Phuket
TXN-00186,05/05/2024,C-0326,Sports,33292,Bangkok
TXN-00187,28/07/2024,C-0618,Electronics,16279,Chiang Mai
TXN-00188,04/10/2024,C-0620,Sports,25227,Bangkok
TXN-00189,21/12/2024,C-0524,Fashion,46784,Bangkok
TXN-00190,20/06/2024,C-0967,Unknown,20931,Bangkok
TXN-00191,02/12/2024,C-0058,Beauty,21273,Chiang Mai
TXN-00192,06/06/2024,C-0931,Home & Living,40174,Chonburi
TXN-00193,28/09/2024,C-0683,Beauty,11386,Khon Kaen
TXN-00194,02/08/2024,C-0370,Fashion,18701,Chiang Mai
TXN-00195,31/01/2024,C-0408,Sports,29155,Chiang Mai
TXN-00196,13/03/2024,C-0152,Fashion,32618,Bangkok
TXN-00197,17/02/2024,C-0734,Sports,16919,Chonburi
TXN-00198,28/04/2024,C-0875,Electronics,37062,Khon Kaen
TXN-00199,23/09/2024,C-0438,Electronics,43235,Bangkok
TXN-00200,09/07/2024,C-0379,Sports,2157,Bangkok
TXN-00201,13/02/2024,C-0396,Beauty,31044,Khon Kaen
TXN-00202,15/09/2024,C-0382,Sports,23174,Chonburi
TXN-00203,20/07/2024,C-0013,Home & Living,14510,Khon Kaen
TXN-00204,17/10/2024,C-0292,Home & Living,13016,Chonburi
TXN-00205,05/12/2024,C-0354,Beauty,12231,Phuket
TXN-00206,01/05/2024,C-0360,Home & Living,1199,Bangkok
TXN-00207,10/06/2024,C-0316,Beauty,24157,Phuket
TXN-00208,20/07/2024,C-0457,Home & Living,867,Chonburi
TXN-00209,16/06/2024,C-0896,Unknown,22025,Bangkok
TXN-00210,19/05/2024,C-0575,Electronics,24674,Chonburi
TXN-00211,13/04/2024,C-0090,Electronics,33451,Bangkok
TXN-00212,26/10/2024,C-0221,Fashion,40265,Chiang Mai
TXN-00213,24/02/2024,C-0746,Beauty,42916,Chiang Mai
TXN-00214,26/08/2024,C-0910,Sports,31874,Chiang Mai
TXN-00215,02/03/2024,C-0455,Electronics,46080,Chiang Mai
TXN-00216,16/04/2024,C-0760,Beauty,18468,Bangkok
TXN-00217,25/08/2024,C-0426,Home & Living,37998,Phuket
TXN-00218,02/03/2024,C-0823,Beauty,47556,Phuket
TXN-00219,17/12/2024,C-0454,Home & Living,40316,Bangkok
TXN-00220,26/12/2024,C-0296,Electronics,32632,Chiang Mai
TXN-00221,21/01/2024,C-0168,Home & Living,49647,Chiang Mai
TXN-00222,16/06/2024,C-0826,Beauty,49690,Phuket
TXN-00223,30/12/2024,C-0746,Unknown,7308,Bangkok
TXN-00224,01/07/2024,C-0994,Home & Living,2389,Bangkok
TXN-00225,26/01/2024,C-0920,Home & Living,47247,Chiang Mai
TXN-00226,13/05/2024,C-0435,Sports,48747,Phuket
TXN-00227,30/03/2024,C-0747,Fashion,9127,Bangkok
TXN-00228,26/07/2024,C-0918,Beauty,8326,Phuket
TXN-00229,11/10/2024,C-0425,Electronics,42277,Chonburi
TXN-00230,07/05/2024,C-0143,Sports,21093,Bangkok
TXN-00231,22/02/2024,C-0856,Fashion,36157,Bangkok
TXN-00232,12/03/2024,C-0602,Beauty,13225,Chonburi
TXN-00233,01/02/2024,C-0613,Home & Living,48829,Chiang Mai
TXN-00234,23/04/2024,C-0089,Beauty,24903.5,Bangkok
TXN-00235,24/07/2024,C-0148,Fashion,21240,Phuket
TXN-00236,18/11/2024,C-0213,Sports,11589,Chonburi
TXN-00237,13/02/2024,C-0311,Sports,38959,Bangkok
TXN-00238,12/05/2024,C-0487,Electronics,24502,Chiang Mai
TXN-00239,08/02/2024,C-0889,Electronics,44048,Bangkok
TXN-00240,03/02/2024,C-0538,Sports,44259,Chonburi
TXN-00241,26/11/2024,C-0344,Sports,4756,Chiang Mai
TXN-00242,06/03/2024,C-0068,Home & Living,33367,Bangkok
TXN-00243,18/06/2024,C-0956,Electronics,17974,Chonburi
TXN-00244,24/08/2024,C-0984,Sports,29558,Bangkok
TXN-00245,20/10/2024,C-0605,Sports,40380,Khon Kaen
TXN-00246,21/07/2024,C-0775,Electronics,33626,Phuket
TXN-00247,14/07/2024,C-0385,Electronics,42135,Bangkok
TXN-00248,29/03/2024,C-0091,Home & Living,711,Chiang Mai
TXN-00249,05/04/2024,C-0007,Beauty,37236,Chiang Mai
TXN-00250,16/08/2024,C-0420,Sports,22877,Chonburi
TXN-00251,18/01/2024,C-0655,Home & Living,46132,Chonburi
TXN-00252,11/11/2024,C-0937,Electronics,30843,Chonburi
TXN-00253,31/05/2024,C-0280,Fashion,6435,Chonburi
TXN-00254,08/10/2024,C-0425,Beauty,6163,Phuket
TXN-00255,14/02/2024,C-0180,Home & Living,39241,Chiang Mai
TXN-00256,11/03/2024,C-0570,Unknown,1817,Chonburi
TXN-00257,25/11/2024,C-0474,Electronics,1184,Chonburi
TXN-00258,26/09/2024,C-0728,Electronics,25045,Phuket
TXN-00259,05/10/2024,C-0582,Fashion,47966,Chiang Mai
TXN-00260,14/07/2024,C-0774,Beauty,20670,Chiang Mai
TXN-00261,02/07/2024,C-0937,Fashion,42594,Chonburi
TXN-00262,05/09/2024,C-0141,Home & Living,13023,Chonburi
TXN-00263,16/10/2024,C-0205,Electronics,48872,Phuket
TXN-00264,17/07/2024,C-0191,Beauty,3995,Phuket
TXN-00265,14/01/2024,C-0853,Sports,19313,Chiang Mai
TXN-00266,22/04/2024,C-0391,Home & Living,9702,Chiang Mai
TXN-00267,23/05/2024,C-0297,Fashion,27630,Chonburi
TXN-00268,29/08/2024,C-0568,Fashion,12836,Khon Kaen
TXN-00269,26/10/2024,C-0503,Electronics,13556,Chonburi
TXN-00270,22/03/2024,C-0044,Sports,19828,Bangkok
TXN-00271,02/12/2024,C-0843,Electronics,29309,Bangkok
TXN-00272,30/09/2024,C-0847,Sports,32605,Bangkok
TXN-00273,29/01/2024,C-0310,Electronics,24329,Phuket
TXN-00274,22/04/2024,C-0855,Sports,42562,Chiang Mai
TXN-00275,17/07/2024,C-0600,Electronics,41854,Chiang Mai
TXN-00276,29/03/2024,C-0312,Beauty,11672,Bangkok
TXN-00277,30/10/2024,C-0506,Electronics,38853,Phuket
TXN-00278,23/12/2024,C-0573,Electronics,35755,Chonburi
TXN-00279,29/10/2024,C-0758,Beauty,46518,Chonburi
TXN-00280,24/12/2024,C-0475,Sports,42836,Bangkok
TXN-00281,17/10/2024,C-0230,Electronics,19419,Bangkok
TXN-00282,15/10/2024,C-0028,Electronics,46352,Khon Kaen
TXN-00283,09/09/2024,C-0811,Home & Living,36650,Chonburi
TXN-00284,30/03/2024,C-0003,Beauty,18125,Bangkok
TXN-00285,16/02/2024,C-0158,Beauty,14309,Khon Kaen
TXN-00286,04/11/2024,C-0269,Sports,31150,Khon Kaen
TXN-00287,26/09/2024,C-0308,Sports,8056,Chiang Mai
TXN-00288,18/06/2024,C-0979,Unknown,41860,Phuket
TXN-00289,13/04/2024,C-0656,Beauty,9662,Phuket
TXN-00290,23/06/2024,C-0855,Sports,21667,Bangkok
TXN-00291,14/06/2024,C-0652,Electronics,25266,Chiang Mai
TXN-00292,16/03/2024,C-0484,Home & Living,2718,Bangkok
TXN-00293,13/03/2024,C-0128,Electronics,7355,Chonburi
TXN-00294,26/09/2024,C-0670,Sports,1017,Chiang Mai
TXN-00295,07/02/2024,C-0682,Sports,31662,Phuket
TXN-00296,05/12/2024,C-0915,Fashion,42959,Chiang Mai
TXN-00297,21/02/2024,C-0295,Fashion,12762,Chiang Mai
TXN-00298,14/06/2024,C-0428,Home & Living,20572,Phuket
TXN-00299,21/03/2024,C-0184,Beauty,36333,Phuket
TXN-00300,11/08/2024,C-0504,Beauty,1925,Chiang Mai
TXN-00301,06/09/2024,C-0929,Fashion,40910,Chonburi
TXN-00302,30/03/2024,C-0705,Electronics,38246,Bangkok
TXN-00303,14/10/2024,C-0661,Sports,48403,Bangkok
TXN-00304,10/11/2024,C-0251,Home & Living,16463,Chonburi
TXN-00305,24/04/2024,C-0030,Sports,24959,Khon Kaen
TXN-00306,30/03/2024,C-0123,Fashion,32124,Chiang Mai
TXN-00307,18/12/2024,C-0784,Sports,20172,Bangkok
TXN-00308,31/03/2024,C-0284,Home & Living,15855,Bangkok
TXN-00309,25/12/2024,C-0505,Sports,33724,Chiang Mai
TXN-00310,19/07/2024,C-0994,Fashion,28411,Phuket
TXN-00311,17/10/2024,C-0069,Sports,38346,Chonburi
TXN-00312,04/11/2024,C-0614,Sports,2371,Chonburi
TXN-00313,09/11/2024,C-0764,Beauty,11404,Khon Kaen
TXN-00314,16/10/2024,C-0371,Fashion,39615,Chiang Mai
TXN-00315,11/09/2024,C-0596,Fashion,34846,Bangkok
TXN-00316,09/02/2024,C-0493,Home & Living,37723,Bangkok
TXN-00317,12/06/2024,C-0580,Beauty,9012,Phuket
TXN-00318,15/02/2024,C-0447,Beauty,4025,Bangkok
TXN-00319,09/12/2024,C-0890,Home & Living,20768,Khon Kaen
TXN-00320,20/06/2024,C-0265,Sports,9770,Bangkok
TXN-00321,15/05/2024,C-0644,Sports,30562,Chiang Mai
TXN-00322,20/12/2024,C-0703,Home & Living,30685,Bangkok
TXN-00323,11/05/2024,C-0488,Beauty,24903.5,Bangkok
TXN-00324,01/01/2024,C-0998,Electronics,11776,Chonburi
TXN-00325,12/08/2024,C-0711,Electronics,5767,Bangkok
TXN-00326,26/03/2024,C-0838,Fashion,13824,Phuket
TXN-00327,09/09/2024,C-0123,Fashion,47956,Chiang Mai
TXN-00328,28/06/2024,C-0383,Home & Living,45373,Chiang Mai
TXN-00329,21/02/2024,C-0525,Beauty,25027,Bangkok
TXN-00330,22/10/2024,C-0751,Fashion,24903.5,Bangkok
TXN-00331,17/12/2024,C-0590,Electronics,7047,Chiang Mai
TXN-00332,19/08/2024,C-0018,Electronics,45509,Phuket
TXN-00333,18/01/2024,C-0866,Sports,14425,Bangkok
TXN-00334,12/06/2024,C-0266,Home & Living,44306,Bangkok
TXN-00335,23/02/2024,C-0167,Sports,30874,Bangkok
TXN-00336,28/03/2024,C-0596,Home & Living,6779,Chonburi
TXN-00337,23/03/2024,C-0060,Electronics,21363,Phuket
TXN-00338,07/10/2024,C-0150,Home & Living,9250,Bangkok
TXN-00339,17/02/2024,C-0328,Home & Living,21937,Phuket
TXN-00340,10/11/2024,C-0473,Home & Living,44720,Chonburi
TXN-00341,26/12/2024,C-0900,Fashion,28326,Bangkok
TXN-00342,30/11/2024,C-0710,Electronics,35503,Chiang Mai
TXN-00343,10/08/2024,C-0139,Home & Living,32501,Chiang Mai
TXN-00344,21/02/2024,C-0366,Electronics,38932,Bangkok
TXN-00345,07/04/2024,C-0168,Fashion,40380,Phuket
TXN-00346,10/10/2024,C-0055,Electronics,15911,Bangkok
TXN-00347,03/10/2024,C-0280,Fashion,22772,Phuket
TXN-00348,24/05/2024,C-0370,Fashion,604,Khon Kaen
TXN-00349,19/02/2024,C-0430,Home & Living,49762,Phuket
TXN-00350,19/10/2024,C-0652,Sports,5563,Chonburi
TXN-00351,08/09/2024,C-0934,Sports,9549,Chiang Mai
TXN-00352,03/07/2024,C-0979,Electronics,3399,Chonburi
TXN-00353,14/02/2024,C-0365,Fashion,29034,Khon Kaen
TXN-00354,04/12/2024,C-0050,Fashion,25670,Phuket
TXN-00355,02/09/2024,C-0297,Home & Living,28399,Bangkok
TXN-00356,14/01/2024,C-0299,Beauty,20887,Bangkok
TXN-00357,22/11/2024,C-0543,Fashion,32000,Bangkok
TXN-00358,11/02/2024,C-0655,Sports,28138,Bangkok
TXN-00359,29/02/2024,C-0959,Sports,26597,Bangkok
TXN-00360,22/07/2024,C-0079,Fashion,7475,Chonburi
TXN-00361,04/12/2024,C-0527,Electronics,5915,Bangkok
TXN-00362,24/11/2024,C-0199,Home & Living,48516,Bangkok
TXN-00363,04/04/2024,C-0785,Sports,27007,Bangkok
TXN-00364,14/07/2024,C-0644,Beauty,1301,Chiang Mai
TXN-00365,16/08/2024,C-0188,Electronics,8937,Chiang Mai
TXN-00366,13/08/2024,C-0784,Sports,25665,Phuket
TXN-00367,25/04/2024,C-0097,Sports,1259,Khon Kaen
TXN-00368,15/10/2024,C-0614,Sports,44421,Khon Kaen
TXN-00369,22/12/2024,C-0771,Sports,4072,Phuket
TXN-00370,13/02/2024,C-0172,Home & Living,17450,Bangkok
TXN-00371,04/10/2024,C-0557,Sports,8099,Phuket
TXN-00372,28/10/2024,C-0331,Beauty,30008,Chonburi
TXN-00373,01/02/2024,C-0894,Sports,31534,Phuket
TXN-00374,24/09/2024,C-0324,Sports,35563,Bangkok
TXN-00375,01/10/2024,C-0847,Fashion,7818,Phuket
TXN-00376,31/08/2024,C-0866,Fashion,28291,Chonburi
TXN-00377,30/04/2024,C-0702,Fashion,25631,Chonburi
TXN-00378,10/02/2024,C-0820,Home & Living,5743,Chonburi
TXN-00379,31/12/2024,C-0309,Beauty,22593,Khon Kaen
TXN-00380,19/10/2024,C-0278,Home & Living,46870,Bangkok
TXN-00381,19/10/2024,C-0702,Electronics,13450,Bangkok
TXN-00382,13/11/2024,C-0715,Electronics,40773,Chiang Mai
TXN-00383,17/08/2024,C-0705,Sports,30318,Chonburi
TXN-00384,26/03/2024,C-0372,Sports,30958,Phuket
TXN-00385,08/04/2024,C-0099,Sports,8465,Chonburi
TXN-00386,04/08/2024,C-0548,Beauty,30662,Phuket
TXN-00387,15/12/2024,C-0594,Beauty,39777,Chiang Mai
TXN-00388,17/11/2024,C-0361,Beauty,17036,Bangkok
TXN-00389,31/10/2024,C-0844,Beauty,44736,Chonburi
TXN-00390,04/02/2024,C-0148,Beauty,2042,Bangkok
TXN-00391,11/10/2024,C-0014,Electronics,12213,Bangkok
TXN-00392,15/06/2024,C-0141,Electronics,27832,Bangkok
TXN-00393,23/09/2024,C-0531,Sports,24903.5,Chonburi
TXN-00394,07/01/2024,C-0289,Electronics,42179,Chiang Mai
TXN-00395,15/11/2024,C-0382,Fashion,7819,Chiang Mai
TXN-00396,02/08/2024,C-0798,Electronics,2899,Bangkok
TXN-00397,17/03/2024,C-0497,Sports,26466,Chiang Mai
TXN-00398,28/10/2024,C-0422,Fashion,6008,Chonburi
TXN-00399,21/02/2024,C-0349,Home & Living,8761,Chonburi
TXN-00400,15/10/2024,C-0944,Home & Living,41979,Khon Kaen
TXN-00401,26/05/2024,C-0933,Sports,18502,Bangkok
TXN-00402,25/06/2024,C-0167,Sports,30517,Chonburi
TXN-00403,15/05/2024,C-0105,Electronics,16497,Khon Kaen
TXN-00404,05/09/2024,C-0224,Home & Living,48517,Chiang Mai
TXN-00405,30/08/2024,C-0159,Beauty,37794,Chonburi
TXN-00406,21/05/2024,C-0516,Sports,5515,Chonburi
TXN-00407,12/11/2024,C-0227,Electronics,3009,Bangkok
TXN-00408,21/12/2024,C-0852,Sports,47935,Khon Kaen
TXN-00409,21/07/2024,C-0193,Fashion,7127,Chonburi
TXN-00410,18/06/2024,C-0815,Fashion,48039,Chonburi
TXN-00411,26/01/2024,C-0919,Fashion,42229,Bangkok
TXN-00412,17/05/2024,C-0573,Sports,28190,Chonburi
TXN-00413,11/01/2024,C-0629,Sports,12554,Bangkok
TXN-00414,04/06/2024,C-0707,Beauty,17333,Phuket
TXN-00415,08/09/2024,C-0852,Electronics,49172,Khon Kaen
TXN-00416,16/12/2024,C-0976,Fashion,28905,Bangkok
TXN-00417,26/04/2024,C-0539,Beauty,13059,Khon Kaen
